Locus	Gene
AT1G01040	DCL1
AT1G01060	LHY
AT1G01140	CIPK9
AT1G01220	FKGP
AT1G01280	CYP703A2
AT2G03720	MRH6
AT2G03800	GEK1
AT2G04240	XERICO
AT2G05210	POT1A
AT3G02130	RPK2
AT3G02140	TMAC2
AT3G02230	RGP1
AT3G02260	BIG
AT3G02310	SEP2
AT3G02680	NBS1
AT3G02850	SKOR
AT3G02870	VTC4
AT3G03260	HDG8
AT4G14790	SUV3
AT4G15210	BAM5
AT4G15560	DXS
AT4G15570	MAA3
AT4G15802	HSBP
AT4G15880	ESD4
AT4G16420	ADA2B
AT4G16480	INT4
AT5G10480	PAS2
AT5G10510	AIL6
AT5G11110	SPS2
AT5G11260	HY5
AT5G11510	MYB3R-4
AT5G12200	PYD2
AT5G13290	CRN
