Locus_name)	Germplasm_name	phenotype	pubmed_id
AT1G01040	CS3828	Increased abundance of miRNA precursors.	17369351
AT1G01040	CS3828	indeterminate floral meristems, producing extra whorls of stamens and an indefinite number of carpels; unregulated cell division in the center of the flower with normal floral organ identity; plants also show other developmental defects including absence of axillary inflorescence meristems and abnormally shaped cotyledons, leaves, sepals, stamens and carpels	10556049
AT1G01060	lhy-101	The mutant plants are hypersensitive to both FRc and Rc light treatments in hypocotyl elongation and exhibits a small reciprocal enlargement in cotyledon area, albeit not statistically significant.	16891401
AT1G01140	SALK_058629	hypersensitive to low potassium media	17486125
AT1G01220	SALK_012400C	fkgp-1 mutants have about 40 times more L-fucose than wild type Arabidopsis plants, but the levels of other monosaccharides do not appear to differ significantly in the mutants. No obvious phenotypic abnormalities were observed in the fkgp-1 mutants, nor were any differences in the sugar composition of cell wall polysaccharides detected.	18199744
AT1G01220	fkgp-2	fkgp-2 mutants have about 40 times more L-fucose than wild type Arabidopsis plants. No obvious phenotypic abnormalities were observed in the fkgp-2 mutants, nor were any differences in the sugar composition of cell wall polysaccharides detected.	18199744
AT1G01280	SALK_119582	Slightly longer inflorescences, an extended period of blooming, a reduced number of elongated siliques, and overall reduced seed set. About a third of the siliques failed to develop. Pollen was not developed (lower and middle part of the inflorescence) or reduced (apical flowers).	17496121
AT1G01280	dex2-1	Slightly longer inflorescences, an extended period of blooming, a reduced number of elongated siliques, and overall reduced seed set. About a third of the siliques failed to develop. Pollen was not developed (lower and middle part of the inflorescence) or reduced (apical flowers).	17496121
AT1G01510	an-2	Phenotype not described.	11889033
AT1G01510	an-EM1	Trichomes of mutant undergo primary but not secondary branching.	11889034
AT1G01510	an-EM1 nok-122	Trichomes of mutant undergo primary but not secondary branching.	11889034
AT1G01510	an-EM1 sta-23	Unbranched trichomes.	11889034
AT1G01510	frc1-1 an-496	Predominantly produces unbranched trichomes.	10572032
AT1G01510	frc2-1 an-496	Predominantly produces unbranched trichomes.	10572032
AT1G01510	frc3-1 an-496	Predominantly produces unbranched trichomes.	10572032
AT1G01510	frc4-1 an-496	Predominantly produces unbranched trichomes.	10572032
AT1G01510	gl-3 an-EM1	Reduced, but still significant, number of branched trichomes.	9367433
